anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
T2 mobiliado no centro de Macedo,Apartamento,40520,MACEDO DE CAVALEIROS,MACEDO DE CAVALEIROS,BRAGANCA,70.0,330,1465,727,114,2291,4119,522,354,168,1687,648,6137,759,708,3244,1426,735,1214,596,970,1401,1221,2962,3175,2759,24,179,1278,230,6683.0
T1 Férias Edifício Panoramic parque das nações/ curta duração,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500,135,81,561,663,11325,1151,495,656,5703,2847,22382,3961,2701,12321,3399,2946,2262,1666,2491,3652,9365,10966,11416,10201,85,680,3112,2137,13415.0
"Apartamento equipado, muito perto dos transportes, em Cacilhas.",Apartamento,150312,ALMADA,ALMADA,SETUBAL,60.0,1100,1752,1350,1283,4181,28086,3543,1530,2013,13302,7781,48608,5336,4591,24468,14213,5014,8111,3916,8067,11937,11563,21875,26733,19730,199,1946,13620,4596,9927.0
Apartamento T3 Carnaxide,Apartamento,111013,CARNAXIDE,OEIRAS,LISBOA,120.0,1250,1818,1245,529,3509,16563,1176,527,649,10190,3511,36079,5750,3883,18437,8009,4529,4723,2808,5103,8039,10877,17045,19034,15814,96,1135,7583,1823,12916.0
Apartamento T2 para arrendamento,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,69.5,800,3368,2417,1012,6625,25081,2367,859,1508,13405,5019,46529,6193,4914,23874,11548,4781,4547,2915,6157,11312,16817,21502,25027,19800,149,1553,10669,4797,11268.0
Arrendamento / Apartamento T3 / Terraço / Bombarral,Apartamento,100506,BOMBARRAL,BOMBARRAL,LEIRIA,170.0,1100,2281,334,83,2686,4105,783,258,525,1994,639,6886,871,735,3497,1783,864,1564,788,1168,1563,939,3095,3791,2861,17,217,1603,293,7487.0
T3 pronto habitar no Aviz - Porto,Apartamento,131216,ALDOAR,PORTO,PORTO,114.0,1700,2543,1820,439,4706,14071,1455,543,912,7589,3332,29085,3988,3229,14220,7648,3172,3898,2148,3426,5062,11379,12693,16392,11618,139,936,6816,1235,11352.0
T4 | Av. Defensores de Chaves,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,100.0,1500,122,460,1177,1416,14812,2258,1034,1224,5008,4488,23261,3047,2480,12276,5458,2595,1875,1130,2172,3925,11564,11421,11840,10761,62,598,4727,2318,13415.0
T1  Flat  Apartamento  Campo Valongo Gandra junto Cespu,Apartamento,131011,GANDRA,PAREDES,PORTO,65.0,650,1838,242,72,2145,3311,269,185,84,1911,304,6966,1008,908,4118,932,828,1536,1132,1266,1452,752,3632,3334,3338,41,253,992,172,6824.0
"Arremda-se T0, canal de S. Roque junto ao Rossio em Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,45.0,750,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
Apartamento T2 para arrendamento no centro de Caneças,Apartamento,111610,RAMADA,ODIVELAS,LISBOA,62.0,850,3558,1484,464,5459,15335,1179,561,618,9408,2826,34531,5641,3713,18656,6521,4565,5874,3201,5236,8339,7316,17260,17271,16076,132,1052,6322,1962,9657.0
T1 KIT Paranhos - Polo Univ. Igreja / Metro,Apartamento,131210,PARANHOS,PORTO,PORTO,55.0,625,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
Apartamento T1 em Lordelo do Ouro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,50.0,950,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
