anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
T2 Loft Duplex mobilado na marginal do Douro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,120.0,2250,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
Apartamento T3,Apartamento,100120,ALJUBARROTA,ALCOBACA,LEIRIA,95.0,500,3011,133,6,3146,3613,627,324,303,2024,302,6243,722,708,3274,1539,777,1650,750,1040,1340,686,2862,3381,2729,18,115,1738,269,8079.0
Apartamento T3 Arrendamento Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,142.0,3750,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia T4 no Marinha Guincho em Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,240.0,7000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
Apartamento T2 Arrendamento Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,98.0,1800,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T1 no emblemático Edificio Atrium em Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,64.5,2800,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia Isolada T4 - São Pedro do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,160.0,3800,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Excelente Apartamento T4 Totalmente Mobilado na Boavista,Apartamento,131211,RAMALDE,PORTO,PORTO,163.0,2750,2588,1479,556,4524,19148,1776,617,1159,9559,5724,38847,5079,4066,20517,9185,4369,6074,3243,5256,7482,12423,18168,20679,16277,237,1654,8767,1561,11352.0
Apartamento T2 para arrendamento sem móveis na Lapa,Apartamento,110660,ESTRELA,LISBOA,LISBOA,135.0,3250,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
T3 Varanda e Garagem em Paranhos New Three Bedroom Apartment Porto,Apartamento,131210,PARANHOS,PORTO,PORTO,125.0,1900,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
T4 com garagem em Celas,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,150.5,1200,3229,2138,1157,6437,25647,4596,1311,3285,11877,5507,41150,5064,4032,21949,10105,4097,4158,2226,4269,7474,18926,20508,20642,19336,84,1088,9184,2067,11220.0
T3 Leiria Arrendar,Apartamento,100933,LEIRIA,LEIRIA,LEIRIA,103.0,700,5435,1954,695,7950,19307,2145,1135,1010,9307,4407,34644,4981,3775,19336,6552,4285,4589,2806,5169,8091,9704,17969,16675,16989,85,895,6283,2628,9373.0
Apartamento T5 duplex para arrendamento em Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,252.0,4500,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia T4 remodelada para arrendamento de longa duração,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,227.0,5000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
Moradia T4 com cave e sótão no centro da Vila de Sintra,Moradia,111128,SINTRA,SINTRA,LISBOA,215.0,3500,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
Arrendo Pequena Moradia em Aires - Palmela,Moradia,150802,PALMELA,PALMELA,SETUBAL,60.0,790,6120,497,61,6655,9307,1019,457,562,5370,1240,18790,2606,2093,9543,4548,2345,3401,1816,3150,4405,3673,8577,10213,7952,54,571,4356,874,9076.0
Apartamento T1 Arrendamento Lisboa,Apartamento,110656,ARROIOS,LISBOA,LISBOA,62.2,2000,271,1150,1532,2362,20906,3890,1559,2331,6130,7674,33302,3456,3135,20036,6675,3945,3450,1702,3726,7224,13255,17939,15363,16499,101,1339,5987,7770,13415.0
Excelente T0 para arrendamento junto ao Hospital de São João,Apartamento,131210,PARANHOS,PORTO,PORTO,35.0,750,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
"Arrendamento T1, Costa de Santo André",Apartamento,150907,SANTO ANDRE,SANTIAGO DO CACEM,SETUBAL,41.0,1175,2516,396,30,2910,6019,454,264,190,3488,596,10309,1435,857,5406,2611,1318,1655,948,1833,2927,1628,4817,5492,4455,27,335,2448,416,9818.0
Apartamento T3 para arrendamento,Apartamento,141633,SANTAREM,SANTAREM,SANTAREM,104.0,750,4304,1110,782,6070,16372,2235,1118,1117,8082,3760,30017,4335,3304,15752,6626,3771,4412,2657,4767,7099,7311,14242,15775,13277,100,865,6540,1738,9079.0
T3 - Quinta Miramar / Vistas Mar,Apartamento,131216,ALDOAR,PORTO,PORTO,140.0,2500,2543,1820,439,4706,14071,1455,543,912,7589,3332,29085,3988,3229,14220,7648,3172,3898,2148,3426,5062,11379,12693,16392,11618,139,936,6816,1235,11352.0
Apartamento T2 para arrendamento,Apartamento,111012,ALGES,OEIRAS,LISBOA,66.0,1500,961,1235,1238,3259,25478,2609,796,1813,14027,5644,47936,6497,4851,24276,12312,5041,5501,3088,6464,10410,17432,22730,25206,21139,104,1487,11294,3603,12916.0
Apartamento T3 para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,90.0,2100,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T3 para arrendamento,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,110.0,1200,4418,1039,1015,6391,20209,2259,1116,1143,10926,4699,41404,7085,4306,22932,7081,6072,6167,3661,6666,10580,8258,20730,20674,18731,191,1808,6978,3837,9007.0
Moradia T6 suítes para arrendamento no Centro Histórico de Sintra,Moradia,111128,SINTRA,SINTRA,LISBOA,199.0,8000,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
Arrendo T2 novo centro da Lourinhã,Apartamento,110812,LOURINHA,LOURINHA,LISBOA,65.0,600,4630,1165,69,5836,9009,1085,577,508,3588,1105,12342,1664,1262,6371,3045,1683,2725,1324,1998,2774,1838,5570,6772,5231,29,310,2925,824,7996.0
"Ericeira - Moradia T4, junto ao centro, vista campo e mar",Moradia,110906,ERICEIRA,MAFRA,LISBOA,265.0,3380,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
"Apartamento T4 com garagem, no Campo Gande, Lisboa",Apartamento,110654,ALVALADE,LISBOA,LISBOA,230.0,5000,504,1140,845,2194,18924,2447,888,1559,7633,5791,33309,4639,3329,17104,8237,3861,3172,1864,3486,5899,15027,15920,17389,14959,87,874,7310,1793,13415.0
"Apartamento T3 com garagem, na Lapa, em Lisboa",Apartamento,110660,ESTRELA,LISBOA,LISBOA,183.0,6500,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
T3 Duplex - Telheiras- ARRENDAMENTO,Apartamento,110618,LUMIAR,LISBOA,LISBOA,110.0,1600,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
"MORADIA T3 EM PENEDO, COLARES - SINTRA - RENOVADA E MOBIL...",Moradia,111105,COLARES,SINTRA,LISBOA,180.0,5000,4736,322,17,5047,6096,777,335,442,1800,1005,7746,1050,770,3967,1959,942,1327,712,1228,1856,1681,3510,4236,3251,20,239,1767,646,9057.0
Apartamento T4 com Varanda e Vistas Rio no Campo Alegre,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,190.0,2500,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
Arrenda se Ericeira centro da vila T2 com duas varandas,Apartamento,110906,ERICEIRA,MAFRA,LISBOA,50.36,1200,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
Arrendo T2 Renovado com vista rio no Alto do Seixalinho | RESERVADO,Apartamento,150409,ALTO DO SEIXALINHO,BARREIRO,SETUBAL,75.0,790,1524,1887,654,3932,22423,2286,832,1454,12453,5207,41296,5013,4162,20660,11461,4641,8888,3884,7210,10487,6186,18476,22820,16492,186,1798,11114,3693,9402.0
Magnífico Apartamento T4 a Apenas 50 Metros da Praia da Nazaré,Apartamento,101102,NAZARE,NAZARE,LEIRIA,120.0,1375,3373,1545,98,4833,10893,1094,764,330,2762,1191,10394,1325,979,5419,2671,1411,2426,1267,1595,2247,1448,4573,5821,4170,30,373,2575,665,8023.0
ARRENDAMENTO T1 NOVO - CASTÊLO DA MAIA - ISMAI,Apartamento,130618,CASTELO DA MAIA,MAIA,PORTO,70.0,1000,3480,663,143,4254,7928,636,341,295,4738,1647,18587,2632,2023,10670,3262,2260,3761,2083,2820,4006,3657,9598,8989,8783,99,716,3326,476,9800.0
MORADIA T3 +1 NO ESTORIL,Moradia,110508,CASCAIS,CASCAIS,LISBOA,190.0,3500,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Moradia T2 duplex nova, em São João do Estoril, junto à p...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,79.63,3500,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
APARTAMENTO T3 - Fórum Oeiras - Como Novo,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,140.0,1899,2161,2668,1342,5931,31345,3283,1031,2252,16841,6884,58094,7426,5869,29906,14893,6069,6144,3699,8237,13548,20397,27182,30912,25148,167,1867,13562,4759,12916.0
Arrenda |  To Rent | Apartamento T3 | Sem Mobilia | Cascais | Torre |,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,80.0,1400,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Excelente Apartamento T2 Mobilado em Pedrouços,Apartamento,130617,PEDROUCOS,MAIA,PORTO,117.0,1200,1953,357,136,2409,6036,805,439,366,2780,1651,11564,1430,1144,6338,2652,1328,2489,1159,1665,2304,2619,5518,6046,4978,62,478,2627,370,9800.0
Apartamento T3 com ótimas áreas e localização privilegiad...,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,93.0,1950,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Moradia T4 para Arrendar na Aroeira com Piscina, Jardim e...",Moradia,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,163.0,8000,13992,3061,361,17353,25856,1492,665,827,14531,2854,48733,7599,5340,25763,10031,5902,7353,4083,7234,11892,12269,23244,25489,21506,159,1579,9750,2622,9927.0
MORADIA T3+1 ESTORIL MOBILADA,Moradia,110508,CASCAIS,CASCAIS,LISBOA,178.33,4400,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T2 c/ parqueamento no edifício Twin Towers em...,Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,102.0,1600,1467,482,306,2164,9123,1583,611,972,3000,3141,14787,1702,1413,8077,3595,1703,2436,1250,2053,2867,4478,7132,7655,6503,54,575,3360,1550,13415.0
Apartamento T2 Mobilado em Condomínio Fechado,Apartamento,131210,PARANHOS,PORTO,PORTO,110.0,1450,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
T1 Mobilado metro S. Bento; No centro histórico,Apartamento,131217,CEDOFEITA,PORTO,PORTO,50.0,1000,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Apartamento T3, a estrear, no condomínio Legacy Cascais",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,160.0,6750,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Vivenda V4-Condominio privado c/ piscina, Ponte Rol, House whit Poll ,",Moradia,111310,PONTE DO ROL,TORRES VEDRAS,LISBOA,200.0,1800,929,33,0,962,1191,124,35,89,737,131,2547,359,265,1337,586,364,541,313,429,575,325,1256,1291,1189,5,62,562,161,8675.0
"Moradia na Praia da Lota, Manta Rota, disponível para arr...",Moradia,81601,VILA NOVA DE CACELA,VILA REAL DE SANTO ANTONIO,FARO,77.35,850,3540,290,41,3855,5954,1048,905,143,1162,269,3873,448,332,1930,1163,561,830,405,704,895,478,1533,2340,1394,18,121,1109,551,7730.0
Apartamento T4 para arrendamento,Apartamento,110660,ESTRELA,LISBOA,LISBOA,246.92,4500,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
Apartamento T3 para arrendamento,Apartamento,110633,OLIVAIS,LISBOA,LISBOA,101.0,1500,1206,861,674,2612,16956,1755,578,1177,9788,3193,32179,3865,3266,16494,8554,3883,5653,2688,4849,6676,8430,14520,17659,13097,153,1270,8247,1866,13415.0
Apartamento T2 para arrendamento,Apartamento,111202,SAPATARIA,SOBRAL DE MONTE AGRACO,LISBOA,116.76,875,1220,99,0,1315,1585,270,117,153,884,231,3288,577,349,1771,591,486,728,433,527,694,420,1595,1693,1517,7,71,555,144,8338.0
Moradia T1 Centro Moita,Moradia,150603,MOITA,MOITA,SETUBAL,55.0,725,2973,659,80,3692,8980,978,395,583,5322,1382,17728,2538,1966,9315,3909,2182,3452,1812,3296,4485,2501,8234,9494,7460,80,694,3839,712,8055.0
Amplo T2 em Condominio privado com piscina | no CAMPO GRANDE |,Apartamento,110654,ALVALADE,LISBOA,LISBOA,121.0,2500,504,1140,845,2194,18924,2447,888,1559,7633,5791,33309,4639,3329,17104,8237,3861,3172,1864,3486,5899,15027,15920,17389,14959,87,874,7310,1793,13415.0
"Apartamento T2 sem móveis, inserido no condomínio Bayview...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,133.0,8000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Apartamento T2 com vista de mar, em Cascais",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,109.52,8000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T3 para arrendamento,Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,152.0,8000,1467,482,306,2164,9123,1583,611,972,3000,3141,14787,1702,1413,8077,3595,1703,2436,1250,2053,2867,4478,7132,7655,6503,54,575,3360,1550,13415.0
Moradia T4 de Luxo no Banzão - Colares - Sintra,Moradia,111105,COLARES,SINTRA,LISBOA,347.0,8000,4736,322,17,5047,6096,777,335,442,1800,1005,7746,1050,770,3967,1959,942,1327,712,1228,1856,1681,3510,4236,3251,20,239,1767,646,9057.0
Fantástica Moradia de Luxo T4+1 com 2 Suítes e piscina,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,270.0,8000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
"Apartamento T4+1 Arrendamento em Aldoar, Foz do Douro e Nevogilde,Port",Apartamento,131216,ALDOAR,PORTO,PORTO,220.0,1734,2543,1820,439,4706,14071,1455,543,912,7589,3332,29085,3988,3229,14220,7648,3172,3898,2148,3426,5062,11379,12693,16392,11618,139,936,6816,1235,11352.0
Excelente moradia V3 dentro da Herdade da Aroeira. Ref. 5728,Moradia,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,187.0,2200,13992,3061,361,17353,25856,1492,665,827,14531,2854,48733,7599,5340,25763,10031,5902,7353,4083,7234,11892,12269,23244,25489,21506,159,1579,9750,2622,9927.0
"Apartamento T3 mobilado no Parque das Nações, Lisboa",Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,116.66,2600,135,81,561,663,11325,1151,495,656,5703,2847,22382,3961,2701,12321,3399,2946,2262,1666,2491,3652,9365,10966,11416,10201,85,680,3112,2137,13415.0
"Apartamento T2 remodelado junto a Celas, Coimbra",Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,65.0,750,3229,2138,1157,6437,25647,4596,1311,3285,11877,5507,41150,5064,4032,21949,10105,4097,4158,2226,4269,7474,18926,20508,20642,19336,84,1088,9184,2067,11220.0
"Apartamento T1 em Lisboa de 85,00 m2",Apartamento,110618,LUMIAR,LISBOA,LISBOA,85.0,1400,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
Moradia T4 para arrendamento em Ramalde.,Moradia,131211,RAMALDE,PORTO,PORTO,91.0,2100,2588,1479,556,4524,19148,1776,617,1159,9559,5724,38847,5079,4066,20517,9185,4369,6074,3243,5256,7482,12423,18168,20679,16277,237,1654,8767,1561,11352.0
Apartamento T3 para arrendamento em Lisboa,Apartamento,110608,BENFICA,LISBOA,LISBOA,112.3,2150,1050,350,1093,2274,20892,2434,998,1436,9441,5877,35362,4101,3193,17593,10475,3736,5285,2489,4844,7051,11957,15811,19551,14590,136,1085,9824,2116,13415.0
T3 mobilado com vista mar nos Jardins da Parede,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,120.0,2700,3368,2417,1012,6625,25081,2367,859,1508,13405,5019,46529,6193,4914,23874,11548,4781,4547,2915,6157,11312,16817,21502,25027,19800,149,1553,10669,4797,11268.0
T2 DUPLEX SEM MÓVEIS EM ALCABIDECHE CENTRO,Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,137.0,1600,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
Apartamento duplex t1 totalmente remodelado no centro do ...,Apartamento,131217,CEDOFEITA,PORTO,PORTO,57.0,1150,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
T3 Remodelado com boas áreas em excelente localização perto do metro,Apartamento,131217,CEDOFEITA,PORTO,PORTO,140.0,1200,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
ARRENDAMENTO - Apartamento T3 com excelente vista Mar,Apartamento,110906,ERICEIRA,MAFRA,LISBOA,124.0,2300,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
Apartamento T1 para arrendamento na Graça,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,59.0,1900,1815,121,3,1936,2014,279,114,165,967,99,2788,324,302,1430,732,488,827,320,371,469,313,1112,1676,995,22,95,650,96,5735.0
Apartamento T2 | Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,86.0,3100,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T2 para arrendamento na Ajuda,Apartamento,110658,BELEM,LISBOA,LISBOA,70.0,2800,1373,1193,319,2762,9389,1429,550,879,4282,2294,16546,2468,1729,7958,4391,1843,1628,915,1789,2916,7455,7467,9079,7039,33,395,3815,1178,13415.0
Apartamento T1 para arrendamento sem móveis em Santo António,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,52.0,2050,171,639,661,1082,8271,2086,1216,870,2123,2610,11060,1306,1063,6312,2379,1221,1020,572,1120,2104,5023,5693,5367,5323,27,343,2116,1918,13415.0
"Para Arrendar | Apartamento T2 | Miraflores, Algés",Apartamento,111012,ALGES,OEIRAS,LISBOA,70.69,1950,961,1235,1238,3259,25478,2609,796,1813,14027,5644,47936,6497,4851,24276,12312,5041,5501,3088,6464,10410,17432,22730,25206,21139,104,1487,11294,3603,12916.0
T3 Remodelado com boas áreas em excelente localização per...,Apartamento,131217,CEDOFEITA,PORTO,PORTO,140.0,1200,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Para arrendar | Apartamento T4 | Bicuda, Cascais",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,170.0,4000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
T3 totalmente renovado junto à Casa da Música,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,95.0,2000,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
T3+1 em Canidelo,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,174.0,2500,4323,859,307,5446,13763,1005,478,527,7724,2873,28054,3788,2834,15727,5705,3257,5621,2949,4267,6326,5634,13712,14342,12217,150,1345,5700,986,8928.0
"Apartamento T1 mobilado para arrendar, na Parede",Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,55.0,1500,3368,2417,1012,6625,25081,2367,859,1508,13405,5019,46529,6193,4914,23874,11548,4781,4547,2915,6157,11312,16817,21502,25027,19800,149,1553,10669,4797,11268.0
Apartamento T1 para arrendamento no centro de Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,96.0,2000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Excelente apartamento T1 Gaia.,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,84.0,1300,4498,2028,1036,7441,26319,2459,1186,1273,14300,6744,52844,5888,5499,29026,12431,5322,9138,5020,8156,12599,12609,25726,27118,22684,290,2752,12078,2965,8928.0
"Apartamento T2 Moderno Mobilado para arrendamento na Misericórdia,",Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,130.0,1780,282,1048,677,1286,8665,2869,1847,1022,1631,2926,9658,953,864,5608,2233,1069,1353,680,1216,2053,3287,4925,4733,4419,36,470,2046,1803,13415.0
Apartamento T3 Duplex - Quinta da Marinha.,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,201.0,8000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
3 assoalhadas I Remodelado I  Lisboa,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,138.0,2600,282,1048,677,1286,8665,2869,1847,1022,1631,2926,9658,953,864,5608,2233,1069,1353,680,1216,2053,3287,4925,4733,4419,36,470,2046,1803,13415.0
Para Arrendar | Moradia T5 com jardim | Cascais Centro,Moradia,110508,CASCAIS,CASCAIS,LISBOA,220.0,8000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T2 remodelado em Carnide/Lisboa,Apartamento,110611,CARNIDE,LISBOA,LISBOA,65.0,1400,862,102,419,1326,9022,831,297,534,4300,2601,18028,2462,2008,9289,4269,2246,2774,1386,2422,3093,6107,8322,9706,7604,84,634,4044,859,13415.0
Moradia T4 para arrendamento,Moradia,151005,CORROIOS,SEIXAL,SETUBAL,362.0,8000,6480,2071,710,9202,24359,1424,552,872,16233,3137,50806,7316,5427,26881,11182,5960,7694,4480,8827,13629,10216,24316,26490,22242,202,1872,10780,3478,9494.0
